trial,common,reward_1_1,reward_1_2,reward_2_1,reward_2_2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow,Subject,Condition
0,1,0.74704119,0.587056894,0.444923092,0.485666086,2,1,1.575897476,2,2,2,1,1.504144629,2,0,0,1,story
1,1,0.742489301,0.607044786,0.414280349,0.485486566,1,2,1.2869252,2,2,1,2,1.500000753,1,0,0,1,story
2,1,0.738472129,0.605755701,0.416242299,0.512770096,1,2,0.960473314,1,1,2,1,1.427416781,2,1,0,1,story
3,1,0.714190214,0.593633275,0.46752378,0.542872436,1,2,0.725171928,1,1,2,1,0.68906678,2,0,0,1,story
4,1,0.711526683,0.530242602,0.450061787,0.529215609,2,1,0.821100648,1,1,1,2,1.229860797,1,1,0,1,story
5,0,0.713491921,0.522343174,0.476497488,0.523090007,1,2,1.012046501,1,2,1,2,NaN,NaN,0,1,1,story
6,1,0.707045033,0.529013072,0.456000303,0.554086656,2,1,0.931223295,1,1,1,2,0.73198969,1,1,0,1,story
7,1,0.664337617,0.495531618,0.428616614,0.561298225,1,2,0.900930903,1,1,1,2,0.696339883,1,1,0,1,story
8,1,0.648849444,0.476302273,0.447478392,0.565248136,2,1,0.933177254,1,1,1,2,0.70790603,1,1,0,1,story
9,1,0.694334566,0.502194983,0.463013073,0.507014176,2,1,1.128105458,1,1,1,2,0.634754916,1,0,0,1,story
10,1,0.694256404,0.474758009,0.46653832,0.500043779,2,1,0.769987021,1,1,2,1,0.766702598,2,0,0,1,story
11,1,0.724012954,0.498102773,0.484971967,0.519847336,1,2,0.986150216,2,2,1,2,1.01574046,2,1,0,1,story
12,1,0.736465639,0.477634923,0.523785949,0.523212091,1,2,0.843883075,2,2,1,2,0.814670423,2,1,0,1,story
13,0,0.71652698,0.485200628,0.552439039,0.541474707,2,1,1.420373609,2,1,2,1,1.435968516,2,1,0,1,story
14,1,0.706228455,0.476157933,0.570235187,0.532577528,2,1,0.828479525,1,1,1,2,0.893929317,2,1,0,1,story
15,1,0.673515417,0.473774902,0.564923131,0.517095236,1,2,0.682749863,1,1,1,2,0.584046907,2,0,0,1,story
