,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-3146.66,0.288845,22.1827,20.7416,-3179.66,-3148.42,-3108.11,6789.47,6954.8,1.00033
"coefs[1,1]",2.23356,0.00136527,0.353617,0.333681,1.71866,2.19954,2.8615,77494.5,59551.8,1.00001
"coefs[1,2]",0.368536,0.000792541,0.207317,0.186412,0.0378586,0.365576,0.708149,71126.7,68622.3,1.00004
"coefs[1,3]",0.128167,0.000818463,0.177312,0.151107,-0.163195,0.132248,0.405094,51140.4,51276.2,1.00004
"coefs[1,4]",1.0733,0.00131603,0.335983,0.313767,0.596513,1.03531,1.68081,76474.6,58949.7,0.999986
"coefs[2,1]",3.04335,0.00155003,0.443396,0.426781,2.38505,3.00592,3.8314,92110.5,67638.1,0.999998
"coefs[2,2]",0.397922,0.00101956,0.264069,0.234204,-0.00782321,0.385895,0.845369,73752.6,59335.4,1.00002
"coefs[2,3]",0.336254,0.00134547,0.250042,0.213804,0.00523006,0.300277,0.791701,38005.9,47794.4,1.00003
"coefs[2,4]",0.789985,0.00124478,0.354505,0.333218,0.248941,0.770618,1.39867,88478.3,66680.0,1.0
"coefs[3,1]",1.72494,0.000759726,0.246348,0.241642,1.33845,1.71366,2.145,109562.0,83920.1,1.00002
"coefs[3,2]",0.465955,0.000637852,0.174285,0.162973,0.209653,0.450499,0.775467,80020.1,71476.7,1.00003
"coefs[3,3]",0.108101,0.000520774,0.135134,0.121372,-0.112241,0.108544,0.326382,68498.2,65533.6,1.00001
"coefs[3,4]",0.703823,0.000677963,0.218349,0.212589,0.363585,0.69358,1.07808,107844.0,78544.9,1.00006
"coefs[4,1]",1.31014,0.000582844,0.207446,0.205918,0.976578,1.30525,1.65873,128209.0,92961.9,1.00006
"coefs[4,2]",0.208271,0.000523856,0.164292,0.157471,-0.0649004,0.210213,0.474775,98673.5,88140.1,1.00001
"coefs[4,3]",-0.0717388,0.000556913,0.13778,0.129025,-0.309765,-0.0630083,0.139041,62758.1,71506.5,1.00007
"coefs[4,4]",-0.194421,0.000596987,0.208283,0.207767,-0.54733,-0.18913,0.137923,123661.0,84777.3,1.00001
"coefs[5,1]",0.56333,0.00052575,0.186195,0.18614,0.259302,0.562694,0.870588,125657.0,90259.6,0.999984
"coefs[5,2]",0.158248,0.000534268,0.155087,0.149532,-0.111297,0.167598,0.395872,87325.9,80401.3,1.00003
"coefs[5,3]",-0.0387791,0.000436854,0.122364,0.113744,-0.24628,-0.0342169,0.153301,79786.1,70743.6,1.00002
"coefs[5,4]",0.356572,0.000530937,0.177719,0.174887,0.0709256,0.353488,0.654224,112811.0,87358.1,1.00009
"coefs[6,1]",0.212074,0.000575913,0.179478,0.178146,-0.0801425,0.210321,0.510616,97258.4,90165.2,1.00003
"coefs[6,2]",-0.0215569,0.000623016,0.167726,0.166646,-0.310714,-0.0135242,0.239714,73112.2,85550.5,1.00005
"coefs[6,3]",-0.224231,0.000782634,0.146005,0.142937,-0.478742,-0.214892,-0.00132579,33957.5,44854.2,1.00004
"coefs[6,4]",0.0980627,0.000552702,0.174736,0.172953,-0.184532,0.0954679,0.389525,100409.0,90846.0,1.00001
"coefs[7,1]",2.24362,0.00123308,0.331515,0.316943,1.747,2.21823,2.82496,81465.0,60769.7,1.00001
"coefs[7,2]",0.375713,0.000856934,0.206181,0.183703,0.0545821,0.367327,0.722452,63137.2,53468.5,1.00003
"coefs[7,3]",0.293623,0.00116747,0.20316,0.174704,0.027353,0.262143,0.669416,32480.1,43605.7,1.00009
"coefs[7,4]",0.971825,0.00123865,0.311915,0.291762,0.520165,0.940549,1.52595,74331.9,53766.7,1.00002
"coefs[8,1]",2.29335,0.0010172,0.319739,0.313866,1.80533,2.27342,2.84851,105815.0,79300.5,1.00003
"coefs[8,2]",0.274355,0.000724829,0.201937,0.18422,-0.0692856,0.28299,0.588151,79589.2,72449.0,1.00003
"coefs[8,3]",0.194088,0.000735983,0.170411,0.152762,-0.0595104,0.182173,0.488407,55031.9,63521.7,1.00007
"coefs[8,4]",0.975797,0.00105977,0.301357,0.287661,0.530875,0.949672,1.51027,89322.8,69453.0,1.00002
"coefs[9,1]",0.862863,0.00046914,0.179675,0.178985,0.571127,0.861655,1.16073,147350.0,95172.9,1.00002
"coefs[9,2]",0.406353,0.000475661,0.142724,0.137387,0.188633,0.397159,0.655968,93578.9,78516.5,0.999999
"coefs[9,3]",-0.000374788,0.000421063,0.114178,0.106802,-0.194373,0.00414042,0.179117,75132.6,72886.5,1.00006
"coefs[9,4]",0.155581,0.000482207,0.170917,0.169713,-0.130009,0.158363,0.432697,126279.0,89809.0,1.0
"coefs[10,1]",2.61639,0.00117789,0.359405,0.349997,2.07257,2.5904,3.24692,101109.0,74568.5,1.00003
"coefs[10,2]",0.278744,0.000774234,0.213884,0.193152,-0.0858333,0.289424,0.610089,81284.9,65066.2,1.00006
"coefs[10,3]",0.101709,0.000750429,0.176519,0.154731,-0.196392,0.108982,0.373282,59260.8,56496.4,1.00001
"coefs[10,4]",0.648057,0.000957227,0.289899,0.276761,0.200027,0.634343,1.14548,97668.3,72039.9,1.00007
"coefs[11,1]",1.42737,0.000509889,0.201675,0.20233,1.10307,1.42396,1.76558,157821.0,92279.1,1.00002
"coefs[11,2]",0.267288,0.000411727,0.138843,0.131556,0.0332063,0.271556,0.488015,115090.0,84558.0,0.999996
"coefs[11,3]",0.0929622,0.000416099,0.113109,0.102825,-0.0816828,0.086755,0.287922,77094.9,68135.7,1.00005
"coefs[11,4]",0.340685,0.000463667,0.179356,0.176864,0.0447069,0.341916,0.631889,150098.0,91494.0,1.00003
"coefs[12,1]",1.76056,0.000609637,0.231148,0.229966,1.39191,1.75378,2.15088,146409.0,90142.1,1.00003
"coefs[12,2]",0.272653,0.000478899,0.153662,0.143843,0.011257,0.278118,0.51575,105337.0,78445.2,1.0
"coefs[12,3]",0.121,0.0004672,0.124181,0.113881,-0.0711277,0.114782,0.332734,72793.9,69082.7,1.00002
"coefs[12,4]",0.486422,0.00056065,0.200793,0.197117,0.161017,0.483862,0.821182,129350.0,92200.6,1.00001
"coefs[13,1]",2.3037,0.000916445,0.302374,0.296735,1.83654,2.28692,2.82663,115085.0,79211.7,1.00004
"coefs[13,2]",0.450734,0.000777362,0.203361,0.186916,0.149728,0.433288,0.809778,74588.7,66085.2,1.00004
"coefs[13,3]",0.202583,0.000700018,0.164667,0.14931,-0.0397602,0.188794,0.492216,58476.9,59971.6,1.00002
"coefs[13,4]",0.480311,0.000795613,0.260129,0.251172,0.0582434,0.478591,0.911707,108294.0,84057.7,1.0
"coefs[14,1]",0.780448,0.000448966,0.178053,0.177809,0.49067,0.779365,1.07481,157438.0,94423.8,1.00003
"coefs[14,2]",0.354378,0.000414881,0.13607,0.130007,0.140718,0.3487,0.588303,110598.0,82634.6,1.00003
"coefs[14,3]",-0.0349632,0.00047296,0.114472,0.106408,-0.23677,-0.026405,0.136689,61943.3,65720.4,1.00001
"coefs[14,4]",0.284326,0.00043487,0.163689,0.160706,0.0141568,0.285015,0.55349,141974.0,90951.6,1.00007
"coefs[15,1]",1.56736,0.00142921,0.334853,0.312228,1.08035,1.5371,2.15453,71947.0,46914.0,1.00005
"coefs[15,2]",0.489869,0.00127484,0.247954,0.221515,0.127626,0.469647,0.914815,49659.0,40037.5,1.00005
"coefs[15,3]",0.34523,0.00149623,0.243074,0.213964,0.0196943,0.312604,0.777715,31478.2,36459.1,1.00018
"coefs[15,4]",1.49499,0.00159077,0.36028,0.337173,0.971533,1.46114,2.13021,66389.4,44151.2,1.00003
"coefs[16,1]",1.51539,0.000539814,0.207887,0.206704,1.18075,1.51049,1.86426,149689.0,91968.8,1.00005
"coefs[16,2]",0.123494,0.000576029,0.164748,0.158912,-0.166587,0.135431,0.372051,84869.3,80296.5,1.00005
"coefs[16,3]",0.0103265,0.000446041,0.126277,0.116313,-0.201285,0.0128362,0.212816,80086.0,77367.4,1.00008
"coefs[16,4]",0.153056,0.000524902,0.193207,0.190531,-0.167999,0.156286,0.466808,136016.0,93220.3,1.0001
"coefs[17,1]",0.617055,0.000484592,0.183368,0.183106,0.317054,0.617182,0.917684,143266.0,93636.0,0.999993
"coefs[17,2]",0.230249,0.000438215,0.140408,0.135705,-0.006631,0.23406,0.454623,103604.0,86640.1,1.00002
"coefs[17,3]",0.0578439,0.000484438,0.119975,0.111521,-0.12127,0.0484066,0.270725,66122.4,64259.5,0.999999
"coefs[17,4]",0.154991,0.000452725,0.165379,0.164601,-0.119812,0.156892,0.423365,133419.0,92758.9,1.0
"coefs[18,1]",0.286939,0.000450306,0.17351,0.173584,0.0020837,0.287447,0.572364,148645.0,96907.3,1.00001
"coefs[18,2]",0.188663,0.000405028,0.138424,0.13463,-0.0454427,0.192157,0.410277,117680.0,91455.0,1.00001
"coefs[18,3]",-0.0861397,0.00045823,0.118132,0.113827,-0.288572,-0.0807875,0.0974132,67743.5,77486.7,1.00005
"coefs[18,4]",0.293641,0.000435217,0.162421,0.16158,0.0296732,0.291528,0.562823,139914.0,94063.7,1.00001
"coefs[19,1]",1.46481,0.000565801,0.209907,0.209091,1.12824,1.46008,1.81751,139422.0,91021.3,1.00001
