participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
5,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.991755
6,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.0100751
8,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.995449
9,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.392775
11,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.540404
12,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.497927
17,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.497333
19,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.976778
25,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.411255
26,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.197747
28,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.728696
30,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.69388
31,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.0572785
35,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.112369
37,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.781427
39,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.167784
40,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.416653
43,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.606595
44,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.601933
45,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.99022
46,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.925592
47,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.287221
49,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.679035
50,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.0455651
52,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.42
53,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.902775
57,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.130533
58,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.886728
59,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.820379
60,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.775375
63,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.650267
64,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.435251
67,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.943566
69,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.947631
72,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.0573647
73,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.978153
75,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.318166
77,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.951785
78,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.154986
79,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.955992
80,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.0815481
81,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.237054
84,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.441957
87,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.884253
89,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.403213
96,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.917762
97,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.953726
98,abstract,0.158917,0.495239,0.429702,6.00332,3.00412,0.153724,0.958112
