participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
1,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.98182
2,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.348651
3,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.989414
7,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.183477
10,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.477407
13,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.984934
14,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.299706
15,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.75829
16,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.456778
18,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.969101
22,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.617818
23,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.192975
24,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.242918
27,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.472475
33,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0679665
34,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.678107
36,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.493196
38,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.33891
41,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0269965
42,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0379266
48,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.95554
51,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.457129
54,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.367304
55,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.00196099
56,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.37416
61,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.591142
62,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.91033
65,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0169432
66,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.203038
68,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.982011
70,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.00954141
71,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.420131
74,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.96803
76,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0113207
82,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.635244
83,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.03701
86,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0667776
88,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0252134
90,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.714088
91,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.0154867
92,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.976097
93,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.176848
94,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.904259
95,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.335703
99,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.420064
100,story,0.00938584,0.855345,0.80069,8.11841,2.00407,0.0419545,0.989416
