participant,condition,alpha,lmbd,beta1,beta2,p,w
1,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.986381
2,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.594055
3,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.892199
7,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.969091
10,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.900708
13,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.994674
14,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.888288
15,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.889899
16,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.843
18,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.877379
22,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.958871
23,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.947601
24,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.637334
27,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.46478
33,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.984579
34,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.799811
36,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.990046
38,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.686158
41,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.976916
42,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.795155
48,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.984519
51,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.290967
54,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.617944
55,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.533366
56,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.643466
61,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.811826
62,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.915633
65,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.547041
66,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.63943
68,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.936253
70,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.763192
71,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.711682
74,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.98334
76,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.432402
82,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.917941
83,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.530287
86,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.9743
88,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.869472
90,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.875816
91,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.262759
92,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.991672
93,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.97
94,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.918971
95,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.761496
99,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.939021
100,story,0.797559,0.643285,3.76664,2.11982,0.112848,0.992806
