participant,condition,alpha1,alpha2,lmbd,beta,p,w
1,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999413
2,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.400223
3,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999889
7,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.526893
10,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.998267
13,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999945
14,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.993025
15,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.99992
16,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999588
18,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.99734
22,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999908
23,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.833817
24,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.659247
27,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.99019
33,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.241915
34,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999963
36,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.990547
38,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.972668
41,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.00236786
42,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.059984
48,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999998
51,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.381502
54,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.437856
55,story,0.0318546,0.834542,1.0,2.44782,0.193334,2.78613e-05
56,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.84654
61,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999588
62,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999876
65,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.00655226
66,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.540381
68,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999549
70,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.00500038
71,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.986707
74,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999639
76,story,0.0318546,0.834542,1.0,2.44782,0.193334,3.50186e-07
82,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999549
83,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.0304084
86,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.515255
88,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.0191003
90,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999555
91,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.000482619
92,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.999997
93,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.798979
94,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.997642
95,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.984702
99,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.309752
100,story,0.0318546,0.834542,1.0,2.44782,0.193334,0.99998
