participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
1,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.999863
2,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.326662
3,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.959254
7,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.166404
10,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.44218
13,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.999857
14,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.271942
15,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.684072
16,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.432946
18,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.943569
22,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.575632
23,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.185833
24,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.236582
27,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.439239
33,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.088396
34,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.645006
36,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.452008
38,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.307097
41,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.000291329
42,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.00814565
48,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.8659
51,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.437793
54,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.325304
55,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,9.0745e-06
56,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.354187
61,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.55265
62,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.755806
65,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,7.82674e-05
66,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.200375
68,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.999267
70,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,3.24397e-05
71,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.392217
74,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.878029
76,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.0370723
82,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.609742
83,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.019064
86,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.0856848
88,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.000216761
90,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.62513
91,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.0528528
92,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.841385
93,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.171629
94,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.757769
95,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.309016
99,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.411308
100,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.999924
