participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
5,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.985165
6,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.00622561
8,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.991051
9,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.406426
11,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.537469
12,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.527939
17,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.462576
19,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.981361
25,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.385328
26,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.206907
28,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.719789
30,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.672369
31,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.0638148
35,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.163197
37,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.74899
39,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.14864
40,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.409505
43,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.559207
44,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.597938
45,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.986856
46,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.931147
47,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.265741
49,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.693095
50,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.0609614
52,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.44716
53,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.895086
57,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.158126
58,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.896013
59,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.778065
60,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.741944
63,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.666645
64,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.460577
67,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.946571
69,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.92458
72,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.0699115
73,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.967268
75,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.329951
77,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.920655
78,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.145305
79,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.946801
80,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.17686
81,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.202306
84,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.442939
87,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.902454
89,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.358104
96,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.915837
97,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.906075
98,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.964257
