participant,condition,alpha,lmbd,beta1,beta2,p,w
5,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.970297
6,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.0224383
8,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.955986
9,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.662056
11,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.928597
12,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.9418
17,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.614846
19,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.942038
25,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.5221
26,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.0523337
28,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.787462
30,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.75713
31,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.0237901
35,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.622513
37,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.751671
39,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.167091
40,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.637139
43,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.79143
44,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.720163
45,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.927154
46,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.971464
47,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.290903
49,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.594715
50,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.310123
52,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.484977
53,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.955993
57,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.0622982
58,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.8513
59,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.802666
60,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.687047
63,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.668955
64,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.299153
67,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.861241
69,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.895235
72,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.524157
73,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.94084
75,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.117566
77,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.898811
78,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.512812
79,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.919756
80,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.33261
81,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.59686
84,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.671835
87,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.709192
89,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.406293
96,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.749097
97,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.888863
98,abstract,0.443067,0.411888,5.41579,3.16804,0.173905,0.937673
