participant,condition,alpha1,alpha2,lmbd,beta,p,w
5,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.985936
6,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,3.45755e-06
8,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.995903
9,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.115622
11,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.981777
12,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.972226
17,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.29507
19,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.993291
25,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.329871
26,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.00369323
28,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.664599
30,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.887244
31,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.00451217
35,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.100388
37,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.959072
39,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.00879767
40,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.246697
43,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.800431
44,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.647338
45,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.98672
46,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.999046
47,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.121628
49,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.438682
50,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.00312525
52,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.0322399
53,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.953808
57,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.00203326
58,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.944552
59,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.923798
60,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.605944
63,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.596619
64,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.0621689
67,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.952158
69,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.997279
72,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.0782837
73,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.990516
75,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.0500143
77,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.885282
78,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.233151
79,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.993471
80,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.123657
81,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.420377
84,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.28203
87,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.947451
89,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.24824
96,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.887154
97,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.982693
98,abstract,0.229661,0.472905,0.517307,3.3872,0.294829,0.948556
