participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
5,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.999944
6,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.0035422
8,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.999956
9,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.525829
11,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.488169
12,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.523792
17,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.567041
19,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.999941
25,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.502274
26,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.27372
28,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.807923
30,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.675336
31,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.179527
35,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.143424
37,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.851555
39,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.301968
40,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.436049
43,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.62676
44,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.451639
45,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.999894
46,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.875674
47,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.391449
49,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.502863
50,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.00154378
52,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.470933
53,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.670427
57,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.26635
58,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.92394
59,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.82599
60,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.755405
63,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.999735
64,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.504517
67,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.982811
69,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.999925
72,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.000136544
73,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.963481
75,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.309186
77,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.897014
78,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.00213819
79,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.82844
80,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.351535
81,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.237813
84,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.44003
87,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.99984
89,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.408259
96,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.892029
97,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.886256
98,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.860666
