participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
5,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.999995
6,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.000426048
8,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.999987
9,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.375395
11,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.403804
12,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.499686
17,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.362314
19,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.999975
25,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.300963
26,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.203514
28,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.709463
30,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.664064
31,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.00016943
35,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.135373
37,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.494667
39,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.136519
40,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.346826
43,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.523131
44,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.588331
45,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.999986
46,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.804299
47,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.230721
49,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.608185
50,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,1.72975e-05
52,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.385324
53,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.828297
57,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.246441
58,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.802615
59,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.639589
60,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.720295
63,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.523723
64,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.401621
67,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.999609
69,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.927249
72,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.0624292
73,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.93191
75,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.266031
77,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.836116
78,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.156988
79,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.872583
80,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.144827
81,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.187289
84,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.431476
87,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.806603
89,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.286657
96,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.878741
97,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.830179
98,abstract,0.165608,0.45782,0.449007,8.32262,3.12165,0,0.974571
