participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,base_w,w,w_rpe_weight,w_spe_weight
1,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
2,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
3,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
7,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
10,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
13,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
14,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
15,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
16,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
18,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
22,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
23,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
24,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
27,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
33,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
34,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
36,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
38,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
41,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
42,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
48,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
51,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
54,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
55,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
56,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
61,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
62,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
65,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
66,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
68,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
70,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
71,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
74,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
76,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
82,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
83,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
86,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
88,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
90,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
91,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
92,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
93,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
94,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
95,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
99,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
100,story,0.00237719,0.81383,0.784459,13.8225,2.09788,0.0261924,2.15699,0.10367983825165572,-0.716551,1.20344
