participant,condition,alpha,lmbd,beta1,beta2,p,w
1,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.991792
2,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.584425
3,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.90353
7,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.978576
10,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.915632
13,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.996035
14,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.861769
15,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.853559
16,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.836607
18,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.864821
22,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.969032
23,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.962952
24,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.672791
27,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.474515
33,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.98943
34,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.792798
36,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.992213
38,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.698325
41,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.977618
42,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.795172
48,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.985057
51,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.282671
54,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.632604
55,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.518584
56,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.631663
61,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.834749
62,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.904288
65,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.528654
66,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.642897
68,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.932656
70,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.766889
71,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.704703
74,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.993017
76,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.446046
82,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.89686
83,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.53741
86,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.982022
88,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.864392
90,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.886946
91,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.282405
92,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.995018
93,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.975206
94,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.911856
95,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.784768
99,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.951903
100,story,0.802229,0.63845,3.74946,2.11015,0.113708,0.995824
