participant,condition,alpha1,alpha2,lmbd,beta,p,w
1,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999996
2,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.409199
3,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999999
7,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.512918
10,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.996342
13,story,0.0327683,0.834587,1.0,2.44689,0.193351,1.0
14,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.995053
15,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.997985
16,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.984279
18,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999446
22,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.998808
23,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.75722
24,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.717738
27,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.968065
33,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.311686
34,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.998536
36,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.996673
38,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.970002
41,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.0105929
42,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.125151
48,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.99794
51,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.365249
54,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.42432
55,story,0.0327683,0.834587,1.0,2.44689,0.193351,3.63565e-07
56,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.970907
61,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999988
62,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999945
65,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.0381207
66,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.604831
68,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999758
70,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.00842014
71,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.969536
74,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999955
76,story,0.0327683,0.834587,1.0,2.44689,0.193351,2.8996e-07
82,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999482
83,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.0191715
86,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.431769
88,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.0826408
90,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999984
91,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.00181945
92,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999944
93,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.770862
94,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.999058
95,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.953288
99,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.324029
100,story,0.0327683,0.834587,1.0,2.44689,0.193351,0.998903
