participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
1,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.999971
2,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.357969
3,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.999825
7,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.194871
10,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.512003
13,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.999985
14,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.319743
15,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.76313
16,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.484527
18,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.945393
22,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.658748
23,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.218452
24,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.265848
27,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.493386
33,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.104513
34,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.751408
36,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.489282
38,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.336135
41,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.0027174
42,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.0297261
48,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.884865
51,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.462494
54,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.387197
55,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,1.19835e-06
56,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.405711
61,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.586498
62,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.847658
65,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,9.91143e-06
66,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.211656
68,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.999974
70,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,5.54262e-06
71,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.407033
74,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.995818
76,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.0547979
82,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.65477
83,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.0205677
86,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.0907428
88,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.000774294
90,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.729527
91,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.0385808
92,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.908885
93,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.203681
94,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.807376
95,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.345433
99,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.445019
100,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.99999
