participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w0,kappa
1,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.707882,0.0505829
2,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.00199976,0.0505829
3,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.0919165,0.0505829
7,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,8.10475e-09,0.0505829
10,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,3.20551e-11,0.0505829
13,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
14,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.00508927,0.0505829
15,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.999999,0.0505829
16,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
18,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.571617,0.0505829
22,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.999985,0.0505829
23,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.903409,0.0505829
24,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.715854,0.0505829
27,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.140072,0.0505829
33,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
34,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,5.89475e-18,0.0505829
36,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,2.54709e-16,0.0505829
38,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,9.6575e-17,0.0505829
41,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.999975,0.0505829
42,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,2.86141e-16,0.0505829
48,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.158415,0.0505829
51,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.1572e-08,0.0505829
54,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,7.1729e-13,0.0505829
55,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
56,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.77811,0.0505829
61,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
62,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,5.7264e-17,0.0505829
65,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,5.49023e-18,0.0505829
66,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.00167339,0.0505829
68,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.675346,0.0505829
70,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.00263042,0.0505829
71,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.64349e-15,0.0505829
74,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.579155,0.0505829
76,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.828879,0.0505829
82,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.999995,0.0505829
83,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.998078,0.0505829
86,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
88,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.09967e-09,0.0505829
90,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.128777,0.0505829
91,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.860173,0.0505829
92,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.998755,0.0505829
93,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,1.0,0.0505829
94,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,2.11628e-06,0.0505829
95,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.831396,0.0505829
99,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.89661,0.0505829
100,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.907631,0.0505829
