participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w,decay_rate
1,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.977865,0.671942
2,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.230939,0.671942
3,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.993432,0.671942
7,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.141135,0.671942
10,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.462414,0.671942
13,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.993104,0.671942
14,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.263414,0.671942
15,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.688456,0.671942
16,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.443687,0.671942
18,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.967429,0.671942
22,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.645841,0.671942
23,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.180344,0.671942
24,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.135914,0.671942
27,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.340387,0.671942
33,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.117239,0.671942
34,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.848792,0.671942
36,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.490512,0.671942
38,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.328703,0.671942
41,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.0125007,0.671942
42,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.0348019,0.671942
48,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.980068,0.671942
51,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.326399,0.671942
54,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.205558,0.671942
55,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.00046289,0.671942
56,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.248284,0.671942
61,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.480737,0.671942
62,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.692995,0.671942
65,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.0241007,0.671942
66,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.156544,0.671942
68,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.970847,0.671942
70,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.00663765,0.671942
71,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.377095,0.671942
74,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.955464,0.671942
76,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.101146,0.671942
82,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.608814,0.671942
83,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.0481645,0.671942
86,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.0953314,0.671942
88,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.031749,0.671942
90,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.623237,0.671942
91,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.0793876,0.671942
92,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.967522,0.671942
93,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.20012,0.671942
94,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.928266,0.671942
95,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.326877,0.671942
99,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.290652,0.671942
100,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.983982,0.671942
